SKU,DESCRIPCION,GRUPO,FAMILIA,SUBFAMILIA,TIPO
P0202112806,TRAVERTINO NATURAL SPLIT WHITE 30.5 X 30.5 X 1 CM,PIEDRAS NATURALES,LOZAS,TRAVERTINOS,TRAVERTINO NATURAL SPLIT WHITE
P041920530,CRISTALLO COSMOPOLITAN PLACA X 2.0cm PULIDO,PIEDRAS NATURALES,PLACAS EXOTICAS,CRISTALLO,CRISTALLO COSMOPOLITAN
P0201120513,GRANITO EUROPE GREEN PLACA 2 CM PULIDO,PIEDRAS NATURALES,LOZAS,GRANITOS,GRANITO EUROPE GREEN
P0201120514,GRANITO TORRONCINO PLACA 2 CM PULIDO,PIEDRAS NATURALES,LOZAS,GRANITOS,GRANITO TORRONCINO
P0410014203,GRANITO PEDIDOS EPECIALES,PIEDRAS NATURALES,PEDIDOS ESPECIALES,GRANITOS,EXTRA
F0321014394,606723  HARO LIBRO DE CLASIFICACIONES PARQUET,MERCADOTECNIA,COMPLEMENTOS,SELEKTIA TECNO,EXTRA
F0321014395,606127  HARO LIBRO PARQUET 2 CAPAS / 3 CAPAS,MERCADOTECNIA,COMPLEMENTOS,SELEKTIA TECNO,EXTRA
F0207000001,MULTIPLY VARIOS RECUPERACION 4' X 8' X  18mm,FORESTIA,TRIPLAY Y OTROS TABLEROS,TRIPLAY COMERCIAL,EXTRA
F0210033003,CIMBRA 4' X 8'   18mm,FORESTIA,TRIPLAY Y OTROS TABLEROS,TRIPLAY COMERCIAL,EXTRA
F0210033004,CIMBRA 4' X 8'   15mm CD,FORESTIA,TRIPLAY Y OTROS TABLEROS,TRIPLAY COMERCIAL,EXTRA
F0103001001,ALDER CABINET 4/4'',FORESTIA,MADERA ASERRADA,MADERAS AMERICANAS Y EUROPEA,ALDER
F0103001002,ALDER CABINET 6/4'',FORESTIA,MADERA ASERRADA,MADERAS AMERICANAS Y EUROPEA,ALDER
F0103001003,ALDER CABINET 8/4'',FORESTIA,MADERA ASERRADA,MADERAS AMERICANAS Y EUROPEA,ALDER
F0103001005,ALDER SUPERIOR 4/4'',FORESTIA,MADERA ASERRADA,MADERAS AMERICANAS Y EUROPEA,ALDER
F0103001006,ALDER SUPERIOR 6/4'',FORESTIA,MADERA ASERRADA,MADERAS AMERICANAS Y EUROPEA,ALDER
F0103001007,ALDER SUPERIOR 8/4'',FORESTIA,MADERA ASERRADA,MADERAS AMERICANAS Y EUROPEA,ALDER
F0103001008,"ALDER SUPERIOR 1 FACE 6/4""",FORESTIA,MADERA ASERRADA,MADERAS AMERICANAS Y EUROPEA,ALDER
F0103001009,ALDER CUSTOM SHOP 4/4'',FORESTIA,MADERA ASERRADA,MADERAS AMERICANAS Y EUROPEA,ALDER
F0103001010,ALDER CUSTOM SHOP 8/4'' ***,FORESTIA,MADERA ASERRADA,MADERAS AMERICANAS Y EUROPEA,ALDER
F0103001011,ALDER CABINET COLOR 4/4'',FORESTIA,MADERA ASERRADA,MADERAS AMERICANAS Y EUROPEA,ALDER
F0103001012,ALDER FRAME 8/4'',FORESTIA,MADERA ASERRADA,MADERAS AMERICANAS Y EUROPEA,ALDER
F0103001013,ALDER FRAME 4/4'',FORESTIA,MADERA ASERRADA,MADERAS AMERICANAS Y EUROPEA,ALDER
F0103001014,ALDER FRAME 6/4'',FORESTIA,MADERA ASERRADA,MADERAS AMERICANAS Y EUROPEA,ALDER
F0101003003,"BALSAMO CORTO  2' A 5'  4/4""",FORESTIA,MADERA ASERRADA,MADERAS TROPICALES IMPORTADA,BALSAMO
F0101003001,"BALSAMO SELECTO  4/4""",FORESTIA,MADERA ASERRADA,MADERAS TROPICALES IMPORTADA,BALSAMO
F0320003001,BALSAMO PREMIUM  L: 300 - 2100mm  A: 75mm  E: 19mm  -  PISO SOLIDO***,SELEKTIA,PISOS DE MADERA,PISOS SÓLIDOS,BALSAMO
